sku,review_text
SKU_001,This product is amazing! Highly recommended and works perfectly.
SKU_001,Terrible customer service and the product broke after two days of light usage.
SKU_001,"Decent value for the price. Not the best, but gets the job done."
SKU_002,Absolutely love this SKU! Excellent build quality and design.
SKU_002,It is okay. A bit overpriced for what it offers but works fine.
SKU_003,Awful. Did not work out of the box. Returning immediately.
SKU_003,"Cheaply made, but it was very cheap so I cannot complain too much."
SKU_004,Premium quality! Highly satisfied with this purchase.
SKU_005,"Average quality, nothing special. Neutral feelings."
SKU_006,Great deal! Works perfectly and shipping was super fast.
SKU_006,Horrible. Avoid at all costs.
SKU_007,"Amazing product, does exactly what it says on the box."
SKU_008,Very disappointing. Stopped working after a week.
SKU_009,Extremely premium. Best purchase I have made this year! Excellent product.
SKU_010,"Good, standard item. No issues so far."
